uci_id,name,repository_url,data_url,num_instances,num_features,has_missing_values,preprocessing_description,recommended_data_splits,is_binary,target_col
1,Abalone,https://archive.ics.uci.edu/dataset/1/abalone,https://archive.ics.uci.edu/static/public/1/data.csv,4177,8,no,,,True,Rings
2,Adult,https://archive.ics.uci.edu/dataset/2/adult,https://archive.ics.uci.edu/static/public/2/data.csv,48842,14,yes,,,True,income
3,Annealing,https://archive.ics.uci.edu/dataset/3/annealing,https://archive.ics.uci.edu/static/public/3/data.csv,798,38,yes,,,True,class
8,Audiology (Standardized),https://archive.ics.uci.edu/dataset/8/audiology+standardized,https://archive.ics.uci.edu/static/public/8/data.csv,226,70,yes,,,True,class
9,Auto MPG,https://archive.ics.uci.edu/dataset/9/auto+mpg,https://archive.ics.uci.edu/static/public/9/data.csv,398,7,yes,,,True,mpg
10,Automobile,https://archive.ics.uci.edu/dataset/10/automobile,https://archive.ics.uci.edu/static/public/10/data.csv,205,25,yes,,,True,symboling
12,Balance Scale,https://archive.ics.uci.edu/dataset/12/balance+scale,https://archive.ics.uci.edu/static/public/12/data.csv,625,4,no,,,True,class
13,Balloons,https://archive.ics.uci.edu/dataset/13/balloons,https://archive.ics.uci.edu/static/public/13/data.csv,16,4,no,,,True,inflated
14,Breast Cancer,https://archive.ics.uci.edu/dataset/14/breast+cancer,https://archive.ics.uci.edu/static/public/14/data.csv,286,9,yes,,,True,Class
15,Breast Cancer Wisconsin (Original),https://archive.ics.uci.edu/dataset/15/breast+cancer+wisconsin+original,https://archive.ics.uci.edu/static/public/15/data.csv,699,9,yes,,,True,Class
16,Breast Cancer Wisconsin (Prognostic),https://archive.ics.uci.edu/dataset/16/breast+cancer+wisconsin+prognostic,https://archive.ics.uci.edu/static/public/16/data.csv,198,33,yes,,,True,Outcome
17,Breast Cancer Wisconsin (Diagnostic),https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic,https://archive.ics.uci.edu/static/public/17/data.csv,569,30,no,,,True,Diagnosis
19,Car Evaluation,https://archive.ics.uci.edu/dataset/19/car+evaluation,https://archive.ics.uci.edu/static/public/19/data.csv,1728,6,no,,,True,class
20,Census Income,https://archive.ics.uci.edu/dataset/20/census+income,https://archive.ics.uci.edu/static/public/20/data.csv,48842,14,yes,,,True,income
22,Chess (King-Rook vs. King-Pawn),https://archive.ics.uci.edu/dataset/22/chess+king+rook+vs+king+pawn,https://archive.ics.uci.edu/static/public/22/data.csv,3196,35,no,,,True,wtoeg
23,Chess (King-Rook vs. King),https://archive.ics.uci.edu/dataset/23/chess+king+rook+vs+king,https://archive.ics.uci.edu/static/public/23/data.csv,28056,6,no,,,True,white-depth-of-win
26,Connect-4,https://archive.ics.uci.edu/dataset/26/connect+4,https://archive.ics.uci.edu/static/public/26/data.csv,67557,42,no,,,True,class
27,Credit Approval,https://archive.ics.uci.edu/dataset/27/credit+approval,https://archive.ics.uci.edu/static/public/27/data.csv,690,15,yes,,,True,A16
